id,tanggal,Facebook,Instagram,TikTok,Penjualan
97,06 Apr 2024,15768,5922,1126,3
98,07 Apr 2024,15012,6088,1162,2
99,08 Apr 2024,16144,5816,1094,0
100,09 Apr 2024,15326,6150,1202,3
101,10 Apr 2024,15580,5994,1140,3
102,11 Apr 2024,15822,6046,1178,3
103,12 Apr 2024,14870,5892,1066,0
104,13 Apr 2024,16034,6258,1194,2
105,14 Apr 2024,15256,5910,1112,2
106,15 Apr 2024,15698,6074,1226,2
107,16 Apr 2024,15412,5862,1088,3
108,17 Apr 2024,15906,6182,1154,3
109,18 Apr 2024,15084,5944,1130,3
110,19 Apr 2024,16320,6012,1208,1
111,20 Apr 2024,15518,5828,1042,2
112,21 Apr 2024,15744,6144,1170,0
113,22 Apr 2024,14982,5976,1122,1
114,23 Apr 2024,16110,6090,1198,2
115,24 Apr 2024,15388,5854,1076,1
116,25 Apr 2024,15642,6198,1148,3
117,26 Apr 2024,15816,5906,1212,0
118,27 Apr 2024,15220,6024,1096,2
119,28 Apr 2024,16004,5874,1184,2
120,29 Apr 2024,14988,6006,1154,1
121,30 Apr 2024,10742,5120,682,1
122,01 Mei 2024,10510,4982,644,3
123,02 Mei 2024,10880,5244,710,0
124,03 Mei 2024,10426,5068,656,1
125,04 Mei 2024,10954,4890,694,1
126,05 Mei 2024,10338,5156,622,1
127,06 Mei 2024,11102,4974,678,1
128,07 Mei 2024,10612,5302,704,3
129,08 Mei 2024,10294,4812,638,2
130,09 Mei 2024,11050,5210,688,0
131,10 Mei 2024,10488,5044,650,3
132,11 Mei 2024,10822,4926,716,2
133,12 Mei 2024,10556,5334,642,3
134,13 Mei 2024,10910,4858,698,0
135,14 Mei 2024,10124,5188,614,0
136,15 Mei 2024,11206,5002,722,1
137,16 Mei 2024,10584,4914,664,1
138,17 Mei 2024,10772,5256,686,1
139,18 Mei 2024,10440,4872,630,2
140,19 Mei 2024,10998,5130,708,3
141,20 Mei 2024,10212,5024,646,3
142,21 Mei 2024,11086,5292,692,3
143,22 Mei 2024,10528,4946,654,2
144,23 Mei 2024,10844,5178,712,2
145,24 Mei 2024,10392,4832,628,3
146,25 Mei 2024,11156,5228,680,0
147,26 Mei 2024,10470,5084,662,0
148,27 Mei 2024,10714,4966,700,2
149,28 Mei 2024,10596,5318,636,3
150,29 Mei 2024,10840,4884,684,2
151,30 Mei 2024,10402,4914,682,0
152,31 Mei 2024,17474,6978,366,3
153,01 Jun 2024,17472,6980,368,3
154,02 Jun 2024,17476,6976,364,3
155,03 Jun 2024,17470,6982,370,3
156,04 Jun 2024,17478,6974,362,3
157,05 Jun 2024,17468,6984,372,2
158,06 Jun 2024,17480,6972,360,2
159,07 Jun 2024,17466,6986,374,3
160,08 Jun 2024,17482,6970,358,2
161,09 Jun 2024,17464,6988,376,0
162,10 Jun 2024,17484,6968,356,1
163,11 Jun 2024,17462,6990,378,0
164,12 Jun 2024,17486,6966,354,0
165,13 Jun 2024,17460,6992,380,0
166,14 Jun 2024,17488,6964,352,3
167,15 Jun 2024,17458,6994,382,0
168,16 Jun 2024,17490,6962,350,1
169,17 Jun 2024,17456,6996,384,2
170,18 Jun 2024,17492,6960,348,3
171,19 Jun 2024,17454,6998,386,0
172,20 Jun 2024,17494,6958,346,1
173,21 Jun 2024,17452,7000,388,0
174,22 Jun 2024,17496,6956,344,3
175,23 Jun 2024,17450,7002,390,2
176,24 Jun 2024,17498,6954,342,1
177,25 Jun 2024,17448,7004,392,3
178,26 Jun 2024,17500,6952,340,3
179,27 Jun 2024,17446,7006,394,0
180,28 Jun 2024,17502,6950,338,1
181,29 Jun 2024,17473,6974,368,3
182,30 Jun 2024,19684,5416,580,1
183,01 Jul 2024,19686,5414,582,3
184,02 Jul 2024,19682,5418,578,2
185,03 Jul 2024,19688,5412,584,0
186,04 Jul 2024,19680,5420,576,1
187,05 Jul 2024,19690,5410,586,1
188,06 Jul 2024,19678,5422,574,2
189,07 Jul 2024,19692,5408,588,2
190,08 Jul 2024,19676,5424,572,2
191,09 Jul 2024,19694,5406,590,2
192,10 Jul 2024,19674,5426,570,0
193,11 Jul 2024,19696,5404,592,3
194,12 Jul 2024,19672,5428,568,2
195,13 Jul 2024,19698,5402,594,1
196,14 Jul 2024,19670,5430,566,2
197,15 Jul 2024,19700,5400,596,0
198,16 Jul 2024,19668,5432,564,3
199,17 Jul 2024,19702,5398,598,2
200,18 Jul 2024,19666,5434,562,2
201,19 Jul 2024,19704,5396,600,1
202,20 Jul 2024,19664,5436,560,3
203,21 Jul 2024,19706,5394,602,0
204,22 Jul 2024,19662,5438,558,3
205,23 Jul 2024,19708,5392,604,0
206,24 Jul 2024,19660,5440,556,2
207,25 Jul 2024,19710,5390,606,1
208,26 Jul 2024,19658,5442,554,2
209,27 Jul 2024,19712,5388,608,1
210,28 Jul 2024,19656,5444,552,3
211,29 Jul 2024,19714,5386,610,1
212,30 Jul 2024,19684,5417,580,3
213,31 Jul 2024,13820,5342,512,2
214,01 Agu 2024,13904,5120,580,0
215,2 Agu 2024,13412,5514,488,0
216,3 Agu 2024,14120,5034,544,3
217,4 Agu 2024,13556,5618,510,2
218,5 Agu 2024,13882,5142,496,1
219,6 Agu 2024,14210,5422,572,3
220,7 Agu 2024,13344,5088,522,3
221,8 Agu 2024,13768,5316,452,2
222,9 Agu 2024,14012,5150,598,0
223,10 Agu 2024,13480,5594,534,3
224,11 Agu 2024,13922,5046,476,3
225,12 Agu 2024,13670,5492,552,2
226,13 Agu 2024,14234,5058,518,1
227,14 Agu 2024,13310,5626,470,1
228,15 Agu 2024,13898,5174,622,0
229,16 Agu 2024,14056,5462,540,0
230,17 Agu 2024,13442,5082,494,3
231,18 Agu 2024,13984,5344,566,2
232,19 Agu 2024,13620,5512,582,1
233,20 Agu 2024,14118,5012,504,1
234,21 Agu 2024,13344,5644,608,1
235,22 Agu 2024,13882,5176,452,3
236,23 Agu 2024,14010,5390,590,3
237,24 Agu 2024,13456,5054,526,3
238,25 Agu 2024,13912,5498,478,0
239,26 Agu 2024,13716,5112,564,0
240,27 Agu 2024,14220,5424,534,1
241,28 Agu 2024,13404,5174,400,0
242,29 Agu 2024,13888,5406,400,3
243,30 Agu 2024,13590,5305,440,3
244,31 Agu 2024,18120,6442,412,2
245,01 Sep 2024,18504,6120,380,3
246,02 Sep 2024,17912,6514,422,2
247,03 Sep 2024,18620,6034,344,2
248,04 Sep 2024,18056,6618,410,1
249,05 Sep 2024,18382,6142,396,3
250,06 Sep 2024,18710,6422,372,0
251,07 Sep 2024,17844,6088,428,0
252,08 Sep 2024,18268,6316,352,0
253,09 Sep 2024,18512,6150,398,1
254,10 Sep 2024,17980,6594,434,3
255,11 Sep 2024,18422,6046,376,0
256,12 Sep 2024,18170,6492,452,0
257,13 Sep 2024,18734,6058,318,2
258,14 Sep 2024,17810,6626,470,3
259,15 Sep 2024,18398,6174,322,3
260,16 Sep 2024,18556,6462,440,1
261,17 Sep 2024,17942,6082,394,3
262,18 Sep 2024,18484,6344,366,0
263,19 Sep 2024,18120,6512,382,3
264,20 Sep 2024,18618,6012,404,3
265,21 Sep 2024,17844,6644,408,2
266,22 Sep 2024,18382,6176,352,3
267,23 Sep 2024,18510,6390,390,0
268,24 Sep 2024,17956,6054,426,2
269,25 Sep 2024,18412,6498,378,3
270,26 Sep 2024,18216,6112,464,3
271,27 Sep 2024,18720,6424,434,3
272,28 Sep 2024,17904,6174,300,1
273,29 Sep 2024,18350,6270,350,2
274,30 Sep 2024,36612,6422,382,2
275,01 Okt 2024,36540,6510,364,1
276,02 Okt 2024,36702,6398,390,2
277,03 Okt 2024,36488,6464,352,3
278,04 Okt 2024,36650,6520,378,1
279,05 Okt 2024,36512,6388,362,1
280,06 Okt 2024,36724,6472,396,1
281,07 Okt 2024,36456,6504,344,0
282,08 Okt 2024,36680,6412,388,2
283,09 Okt 2024,36502,6490,356,1
284,10 Okt 2024,36714,6434,392,0
285,11 Okt 2024,36426,6528,338,0
286,12 Okt 2024,36690,6402,384,3
287,13 Okt 2024,36532,6486,366,0
288,14 Okt 2024,36744,6424,402,1
289,15 Okt 2024,36418,6516,328,0
290,16 Okt 2024,36662,6392,374,0
291,17 Okt 2024,36544,6498,360,0
292,18 Okt 2024,36710,6410,390,1
293,19 Okt 2024,36466,6534,348,0
294,20 Okt 2024,36678,6396,382,0
295,21 Okt 2024,26556,6482,354,3
296,22 Okt 2024,36732,6440,398,1
297,23 Okt 2024,36404,6502,322,3
298,24 Okt 2024,36698,6406,386,2
299,25 Okt 2024,36520,6494,350,0
300,26 Okt 2024,36708,6418,394,2
301,27 Okt 2024,36434,6522,336,2
302,28 Okt 2024,36686,6428,388,3
303,29 Okt 2024,36540,6492,352,0
304,30 Okt 2024,46409,6458,344,0
305,31 Okt 2024,23562,16830,148,3
306,01 Nov 2024,23564,16828,150,1
307,02 Nov 2024,23560,16832,146,2
308,03 Nov 2024,23566,16826,152,1
309,04 Nov 2024,23558,16834,144,0
310,05 Nov 2024,23568,16824,154,1
311,06 Nov 2024,23556,16836,142,2
312,07 Nov 2024,23570,16822,156,3
313,08 Nov 2024,23554,16838,140,2
314,09 Nov 2024,23572,16820,158,2
315,10 Nov 2024,23552,16840,138,3
316,11 Nov 2024,23574,16818,160,2
317,12 Nov 2024,23550,16842,136,1
318,13 Nov 2024,23576,16816,162,2
319,14 Nov 2024,23548,16844,134,2
320,15 Nov 2024,23578,16814,164,2
321,16 Nov 2024,23546,16846,132,2
322,17 Nov 2024,23580,16812,166,3
323,18 Nov 2024,23544,16848,130,2
324,19 Nov 2024,23582,16810,168,1
325,20 Nov 2024,23542,16850,128,0
326,21 Nov 2024,23584,16808,170,3
327,22 Nov 2024,23540,16852,126,1
328,23 Nov 2024,23586,16806,172,3
329,24 Nov 2024,23538,16854,124,3
330,25 Nov 2024,23588,16804,174,2
331,26 Nov 2024,23536,16856,122,2
332,27 Nov 2024,23590,16802,176,1
333,28 Nov 2024,23534,16858,120,1
334,29 Nov 2024,23564,16829,145,0
335,30 Nov 2024,27572,4714,196,1
336,01 Des 2024,27570,4716,194,1
337,02 Des 2024,27574,4712,196,3
338,03 Des 2024,27568,4718,192,3
339,04 Des 2024,27576,4710,198,2
340,05 Des 2024,27566,4720,190,2
341,06 Des 2024,27580,4708,200,1
342,07 Des 2024,27564,4722,188,2
343,08 Des 2024,27582,4706,202,1
344,09 Des 2024,27560,4724,186,0
345,10 Des 2024,27584,4704,204,2
346,11 Des 2024,27558,4726,184,2
347,12 Des 2024,27586,4702,206,1
348,13 Des 2024,27556,4728,182,1
349,14 Des 2024,27588,4700,208,2
350,15 Des 2024,27554,4730,180,2
351,16 Des 2024,27590,4698,210,2
352,17 Des 2024,27552,4732,178,0
353,18 Des 2024,27592,4696,212,1
354,19 Des 2024,27550,4734,176,3
355,20 Des 2024,27594,4694,214,3
356,21 Des 2024,27548,4736,174,3
357,22 Des 2024,27596,4692,216,3
358,23 Des 2024,27546,4738,172,0
359,24 Des 2024,27598,4690,218,2
360,25 Des 2024,27544,4740,170,3
361,26 Des 2024,27600,4688,220,3
362,27 Des 2024,27542,4742,168,0
363,28 Des 2024,27602,4686,222,3
364,29 Des 2024,27540,4744,166,1
365,30 Des 2024,27567,4711,196,2
366,31 Des 2024,27567,4711,196,0
367,01 Jan 2025,2958,2850,354,3
368,02 Jan 2025,2960,2848,356,0
369,03 Jan 2025,2956,2852,352,0
370,04 Jan 2025,2962,2846,358,3
371,05 Jan 2025,2954,2854,350,2
372,06 Jan 2025,2964,2844,360,0
373,07 Jan 2025,2952,2856,348,2
374,08 Jan 2025,2966,2842,362,0
375,09 Jan 2025,2950,2858,346,3
376,10 Jan 2025,2968,2840,364,0
377,11 Jan 2025,2948,2860,344,3
378,12 Jan 2025,2970,2838,366,3
379,13 Jan 2025,2946,2862,342,0
380,14 Jan 2025,2972,2836,368,1
381,15 Jan 2025,2944,2864,340,2
382,16 Jan 2025,2974,2834,370,0
383,17 Jan 2025,2942,2866,338,0
384,18 Jan 2025,2976,2832,372,0
385,19 Jan 2025,2940,2868,336,1
386,20 Jan 2025,2978,2830,374,2
387,21 Jan 2025,2938,2870,334,0
388,22 Jan 2025,2980,2828,376,3
389,23 Jan 2025,2936,2872,332,0
390,24 Jan 2025,2982,2826,378,0
391,25 Jan 2025,2934,2874,330,3
392,26 Jan 2025,2984,2824,380,0
393,27 Jan 2025,2932,2876,328,1
394,28 Jan 2025,2986,2822,382,3
395,29 Jan 2025,2930,2878,326,1
396,30 Jan 2025,2988,2820,384,3
397,31 Jan 2025,2960,2847,354,3
398,01 Feb 2025,20142,6540,512,3
399,02 Feb 2025,18850,7112,580,0
400,03 Feb 2025,21200,6890,496,2
401,04 Feb 2025,19462,6432,544,0
402,05 Feb 2025,17988,7254,610,1
403,06 Feb 2025,22110,6108,522,1
404,07 Feb 2025,19774,6966,488,0
405,08 Feb 2025,20332,6320,576,2
406,09 Feb 2025,18156,7412,530,2
407,10 Feb 2025,21504,6678,464,0
408,11 Feb 2025,19228,6944,598,0
409,12 Feb 2025,20880,7050,552,3
410,13 Feb 2025,17654,6222,518,1
411,14 Feb 2025,22406,7334,470,2
412,15 Feb 2025,19550,6588,622,3
413,16 Feb 2025,20118,6816,540,2
414,17 Feb 2025,18792,7140,494,1
415,18 Feb 2025,21900,6398,566,2
416,19 Feb 2025,19334,6702,582,1
417,20 Feb 2025,20662,7224,504,0
418,21 Feb 2025,17448,6456,608,2
419,22 Feb 2025,22770,6980,452,0
420,23 Feb 2025,19112,6164,590,2
421,24 Feb 2025,20556,7428,526,3
422,25 Feb 2025,18330,6512,478,3
423,26 Feb 2025,21444,6874,564,0
424,27 Feb 2025,19968,7104,534,3
425,28 Feb 2025,23638,6110,500,0
426,01 Mar 2025,19248,5162,452,1
427,02 Mar 2025,19250,5160,450,3
428,03 Mar 2025,19246,5164,452,2
429,04 Mar 2025,19252,5158,448,0
430,05 Mar 2025,19244,5166,454,2
431,06 Mar 2025,19254,5156,446,3
432,07 Mar 2025,19242,5168,456,0
433,08 Mar 2025,19256,5154,444,0
434,09 Mar 2025,19240,5170,458,2
435,10 Mar 2025,19258,5152,442,0
436,11 Mar 2025,19238,5172,460,3
437,12 Mar 2025,19260,5150,440,0
438,13 Mar 2025,19236,5174,462,0
439,14 Mar 2025,19262,5148,438,3
440,15 Mar 2025,19234,5176,464,3
441,16 Mar 2025,19264,5146,436,0
442,17 Mar 2025,19232,5178,466,0
443,18 Mar 2025,19266,5144,434,3
444,19 Mar 2025,19230,5180,468,3
445,20 Mar 2025,19268,5142,432,3
446,21 Mar 2025,19228,5182,470,2
447,22 Mar 2025,19270,5140,430,1
448,23 Mar 2025,19226,5184,472,0
449,24 Mar 2025,19272,5138,428,1
450,25 Mar 2025,19224,5186,474,1
451,26 Mar 2025,19274,5136,426,1
452,27 Mar 2025,19222,5188,476,3
453,28 Mar 2025,19276,5134,424,2
454,29 Mar 2025,19220,5190,478,0
455,30 Mar 2025,19278,5132,422,2
456,31 Mar 2025,19250,5163,450,1
457,01 Apr 2025,15620,5842,1150,3
458,02 Apr 2025,15104,6120,1082,2
459,03 Apr 2025,15892,5956,1214,2
460,04 Apr 2025,14956,6034,1106,2
461,05 Apr 2025,16210,5780,1188,1
462,06 Apr 2025,15442,6214,1054,0
463,07 Apr 2025,15768,5922,1126,3
464,08 Apr 2025,15012,6088,1162,1
465,09 Apr 2025,16144,5816,1094,3
466,10 Apr 2025,15326,6150,1202,2
467,11 Apr 2025,15580,5994,1140,2
468,12 Apr 2025,15822,6046,1178,2
469,13 Apr 2025,14870,5892,1066,3
470,14 Apr 2025,16034,6258,1194,3
471,15 Apr 2025,15256,5910,1112,3
472,16 Apr 2025,15698,6074,1226,0
473,17 Apr 2025,15412,5862,1088,3
474,18 Apr 2025,15906,6182,1154,0
475,19 Apr 2025,15084,5944,1130,2
476,20 Apr 2025,16320,6012,1208,0
477,21 Apr 2025,15518,5828,1042,1
478,22 Apr 2025,15744,6144,1170,2
479,23 Apr 2025,14982,5976,1122,0
480,24 Apr 2025,16110,6090,1198,3
481,25 Apr 2025,15388,5854,1076,2
482,26 Apr 2025,15642,6198,1148,3
483,27 Apr 2025,15816,5906,1212,0
484,28 Apr 2025,15220,6024,1096,3
485,29 Apr 2025,16004,5874,1184,2
486,30 Apr 2025,14988,6006,1154,2
487,01 Mei 2025,10742,5120,682,1
488,02 Mei 2025,10510,4982,644,1
489,03 Mei 2025,10880,5244,710,3
490,04 Mei 2025,10426,5068,656,2
491,05 Mei 2025,10954,4890,694,3
492,06 Mei 2025,10338,5156,622,3
493,07 Mei 2025,11102,4974,678,1
494,08 Mei 2025,10612,5302,704,1
495,09 Mei 2025,10294,4812,638,3
496,10 Mei 2025,11050,5210,688,1
497,11 Mei 2025,10488,5044,650,0
498,12 Mei 2025,10822,4926,716,1
499,13 Mei 2025,10556,5334,642,0
500,14 Mei 2025,10910,4858,698,0
501,15 Mei 2025,10124,5188,614,2
502,16 Mei 2025,11206,5002,722,0
503,17 Mei 2025,10584,4914,664,0
504,18 Mei 2025,10772,5256,686,1
505,19 Mei 2025,10440,4872,630,0
506,20 Mei 2025,10998,5130,708,3
507,21 Mei 2025,10212,5024,646,1
508,22 Mei 2025,11086,5292,692,3
509,23 Mei 2025,10528,4946,654,3
510,24 Mei 2025,10844,5178,712,1
511,25 Mei 2025,10392,4832,628,3
512,26 Mei 2025,11156,5228,680,0
513,27 Mei 2025,10470,5084,662,1
514,28 Mei 2025,10714,4966,700,3
515,29 Mei 2025,10596,5318,636,0
516,30 Mei 2025,10840,4884,684,0
517,31 Mei 2025,10402,4914,682,3
518,01 Jun 2025,17474,6978,366,1
519,02 Jun 2025,17472,6980,368,3
520,03 Jun 2025,17476,6976,364,0
521,04 Jun 2025,17470,6982,370,2
522,05 Jun 2025,17478,6974,362,3
523,06 Jun 2025,17468,6984,372,0
524,07 Jun 2025,17480,6972,360,2
525,08 Jun 2025,17466,6986,374,3
526,09 Jun 2025,17482,6970,358,2
527,10 Jun 2025,17464,6988,376,0
528,11 Jun 2025,17484,6968,356,3
529,12 Jun 2025,17462,6990,378,2
530,13 Jun 2025,17486,6966,354,0
531,14 Jun 2025,17460,6992,380,2
532,15 Jun 2025,17488,6964,352,3
533,16 Jun 2025,17458,6994,382,2
534,17 Jun 2025,17490,6962,350,2
535,18 Jun 2025,17456,6996,384,3
536,19 Jun 2025,17492,6960,348,1
537,20 Jun 2025,17454,6998,386,1
538,21 Jun 2025,17494,6958,346,0
539,22 Jun 2025,17452,7000,388,3
540,23 Jun 2025,17496,6956,344,1
541,24 Jun 2025,17450,7002,390,1
542,25 Jun 2025,17498,6954,342,1
543,26 Jun 2025,17448,7004,392,0
544,27 Jun 2025,17500,6952,340,2
545,28 Jun 2025,17446,7006,394,1
546,29 Jun 2025,17502,6950,338,1
547,30 Jun 2025,17473,6974,368,0
548,01 Jul 2025,19684,5416,580,3
549,02 Jul 2025,19686,5414,582,1
550,03 Jul 2025,19682,5418,578,2
551,04 Jul 2025,19688,5412,584,2
552,05 Jul 2025,19680,5420,576,1
553,06 Jul 2025,19690,5410,586,3
554,07 Jul 2025,19678,5422,574,1
555,08 Jul 2025,19692,5408,588,1
556,09 Jul 2025,19676,5424,572,0
557,10 Jul 2025,19694,5406,590,0
558,11 Jul 2025,19674,5426,570,2
559,12 Jul 2025,19696,5404,592,3
560,13 Jul 2025,19672,5428,568,2
561,14 Jul 2025,19698,5402,594,2
562,15 Jul 2025,19670,5430,566,0
563,16 Jul 2025,19700,5400,596,0
564,17 Jul 2025,19668,5432,564,1
565,18 Jul 2025,19702,5398,598,1
566,19 Jul 2025,19666,5434,562,1
567,20 Jul 2025,19704,5396,600,2
568,21 Jul 2025,19664,5436,560,2
569,22 Jul 2025,19706,5394,602,0
570,23 Jul 2025,19662,5438,558,2
571,24 Jul 2025,19708,5392,604,1
572,25 Jul 2025,19660,5440,556,0
573,26 Jul 2025,19710,5390,606,3
574,27 Jul 2025,19658,5442,554,2
575,28 Jul 2025,19712,5388,608,3
576,29 Jul 2025,19656,5444,552,3
577,30 Jul 2025,19714,5386,610,0
578,31 Jul 2025,19684,5417,580,2
579,01 Agu 2025,13820,5342,512,2
580,2 Agu 2025,13904,5120,580,1
581,3 Agu 2025,13412,5514,488,3
582,4 Agu 2025,14120,5034,544,0
583,5 Agu 2025,13556,5618,510,1
584,6 Agu 2025,13882,5142,496,2
585,7 Agu 2025,14210,5422,572,1
586,8 Agu 2025,13344,5088,522,3
587,9 Agu 2025,13768,5316,452,3
588,10 Agu 2025,14012,5150,598,1
589,11 Agu 2025,13480,5594,534,1
590,12 Agu 2025,13922,5046,476,0
591,13 Agu 2025,13670,5492,552,0
592,14 Agu 2025,14234,5058,518,2
593,15 Agu 2025,13310,5626,470,2
594,16 Agu 2025,13898,5174,622,2
595,17 Agu 2025,14056,5462,540,0
596,18 Agu 2025,13442,5082,494,0
597,19 Agu 2025,13984,5344,566,1
598,20 Agu 2025,13620,5512,582,1
599,21 Agu 2025,14118,5012,504,2
600,22 Agu 2025,13344,5644,608,3
601,23 Agu 2025,13882,5176,452,2
602,24 Agu 2025,14010,5390,590,0
603,25 Agu 2025,13456,5054,526,3
604,26 Agu 2025,13912,5498,478,1
605,27 Agu 2025,13716,5112,564,0
606,28 Agu 2025,14220,5424,534,1
607,29 Agu 2025,13404,5174,400,3
608,30 Agu 2025,13888,5406,400,1
609,31 Agu 2025,13590,5305,440,0
610,01 Sep 2025,18120,6442,412,0
611,02 Sep 2025,18504,6120,380,3
612,03 Sep 2025,17912,6514,422,0
613,04 Sep 2025,18620,6034,344,2
614,05 Sep 2025,18056,6618,410,0
615,06 Sep 2025,18382,6142,396,2
616,07 Sep 2025,18710,6422,372,1
617,08 Sep 2025,17844,6088,428,2
618,09 Sep 2025,18268,6316,352,2
619,10 Sep 2025,18512,6150,398,1
620,11 Sep 2025,17980,6594,434,3
621,12 Sep 2025,18422,6046,376,1
622,13 Sep 2025,18170,6492,452,3
623,14 Sep 2025,18734,6058,318,2
624,15 Sep 2025,17810,6626,470,2
625,16 Sep 2025,18398,6174,322,0
626,17 Sep 2025,18556,6462,440,1
627,18 Sep 2025,17942,6082,394,1
628,19 Sep 2025,18484,6344,366,1
629,20 Sep 2025,18120,6512,382,2
630,21 Sep 2025,18618,6012,404,2
631,22 Sep 2025,17844,6644,408,1
632,23 Sep 2025,18382,6176,352,2
633,24 Sep 2025,18510,6390,390,1
634,25 Sep 2025,17956,6054,426,1
635,26 Sep 2025,18412,6498,378,1
636,27 Sep 2025,18216,6112,464,1
637,28 Sep 2025,18720,6424,434,3
638,29 Sep 2025,17904,6174,300,2
639,30 Sep 2025,18350,6270,350,3
640,01 Okt 2025,36612,6422,382,0
641,02 Okt 2025,36540,6510,364,2
642,03 Okt 2025,36702,6398,390,1
643,04 Okt 2025,36488,6464,352,3
644,05 Okt 2025,36650,6520,378,1
645,06 Okt 2025,36512,6388,362,2
646,07 Okt 2025,36724,6472,396,0
647,08 Okt 2025,36456,6504,344,1
648,09 Okt 2025,36680,6412,388,1
649,10 Okt 2025,36502,6490,356,3
650,11 Okt 2025,36714,6434,392,0
651,12 Okt 2025,36426,6528,338,1
652,13 Okt 2025,36690,6402,384,3
653,14 Okt 2025,36532,6486,366,1
654,15 Okt 2025,36744,6424,402,3
655,16 Okt 2025,36418,6516,328,3
656,17 Okt 2025,36662,6392,374,1
657,18 Okt 2025,36544,6498,360,2
658,19 Okt 2025,36710,6410,390,3
659,20 Okt 2025,36466,6534,348,2
660,21 Okt 2025,36678,6396,382,3
661,22 Okt 2025,26556,6482,354,3
662,23 Okt 2025,36732,6440,398,1
